nonexample,"I will end common core. It's a disaster.
https://t.co/d83XYrqZ3m
#MakeAmericaGreatAgain #Trump2016 https://t.co/r0Sc6zm80I"
nonexample,"Glad to have you on our team, Michele! Thanks for the support.  https://t.co/Mc1oC33P7G"
nonexample,"Great honor- Rev. Jerry Falwell Jr. of Liberty University, one of the most respected religious leaders in our nation, has just endorsed me!"
nonexample,"Welcome to the team, @GovernorPataki! https://t.co/r6bZHYbLkm"
nonexample,"And now we've crossed $120k, thanks to Eileen of WI! She donated and won a signed football: https://t.co/pY2mVqfmQ2 https://t.co/elKSCYAuUr"
nonexample,Should I do the #GOPdebate? https://t.co/cjTywwIl85
nonexample,"Join me this afternoon for a rally in Elko, Nevada. RSVP here → https://t.co/7sjHic7K7Q"
example,"Do you think @SenTedCruz knows about @bobvanderplaats dealings? Actually, I doubt it!"
nonexample,Congrats @chtrust and Brenda Torpy for #RenewalAwards win recognizing housing programs we set up in #BTV in the 80s. https://t.co/NvdITUN8SC
nonexample,"Joining @dloesch on the radio at 2 pm ET. Listen here, #CruzCrew: https://t.co/3qtxU9WVR4"
example,.@realDonaldTrump Do you know who else is scared of tough qs from Fox &amp; @megynkelly? Barack Obama. Enough whining.
example,Remembering back when @realDonaldTrump wasn't attacking conservatives... https://t.co/sHXBvmfGXl
nonexample,"The Zika virus underscores the importance of public health education, funding and research. What you should know: https://t.co/YpwmVnkr0J -H"
nonexample,Absolutely correct.  https://t.co/8Dn7NnYNUS
nonexample,"Democratic socialism means that if someone works forty hours a week, that person should not be living in poverty."
nonexample,"I am so honored and proud to have your endorsement, your support, and your friendship, @DLoesch! https://t.co/7HwrXDjsC0 #CaucusForCruz"
nonexample,"THANK YOU! #Trump2016
#IACaucus finder: https://t.co/ANvTcZqfOq https://t.co/CxqTh61ssz"
nonexample,"Thank you Mark Hanson. Join me tonight for Revive 714 in Des Moines, Iowa. Free tickets at: https://t.co/dFHlvqzX8L.
https://t.co/uWvZ8NBgTq"
